,id,polarisability,homo_lumo_gap,ligands,lig1,lig2,lig3,lig4
512,512,105.397068,4.949142873462,"ULUSIE-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1",ULUSIE-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1
412,412,151.914899,4.935179444028,"ZEJJEF-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1",ZEJJEF-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1
587,587,128.71589,4.91719116418,"BOSJIF-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1",BOSJIF-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1
126464,126465,149.284108,4.882541859545,"MAQKEX-subgraph-1,ZEJJEF-subgraph-3,MAQKEX-subgraph-1,IRIXUC-subgraph-3",MAQKEX-subgraph-1,ZEJJEF-subgraph-3,MAQKEX-subgraph-1,IRIXUC-subgraph-3
362,362,152.007354,4.823877138067,"CEVJAP-subgraph-2,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1",CEVJAP-subgraph-2,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1
126582,126583,102.645769,4.802067687124,"MAQKEX-subgraph-1,ULUSIE-subgraph-1,MAQKEX-subgraph-1,IRIXUC-subgraph-3",MAQKEX-subgraph-1,ULUSIE-subgraph-1,MAQKEX-subgraph-1,IRIXUC-subgraph-3
126660,126661,126.063217,4.764784744984,"MAQKEX-subgraph-1,BOSJIF-subgraph-1,MAQKEX-subgraph-1,IRIXUC-subgraph-3",MAQKEX-subgraph-1,BOSJIF-subgraph-1,MAQKEX-subgraph-1,IRIXUC-subgraph-3
126399,126400,149.287389,4.733188118476,"MAQKEX-subgraph-1,CEVJAP-subgraph-2,MAQKEX-subgraph-1,IRIXUC-subgraph-3",MAQKEX-subgraph-1,CEVJAP-subgraph-2,MAQKEX-subgraph-1,IRIXUC-subgraph-3
37,37,157.145731,4.703595640921,"WECJIA-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1",WECJIA-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1
125879,125880,154.376965,4.663776223155,"MAQKEX-subgraph-1,WECJIA-subgraph-3,MAQKEX-subgraph-1,IRIXUC-subgraph-3",MAQKEX-subgraph-1,WECJIA-subgraph-3,MAQKEX-subgraph-1,IRIXUC-subgraph-3
65033,65034,146.91206,4.660324444472,"ZEJJEF-subgraph-3,MAQKEX-subgraph-1,IRIXUC-subgraph-3,IRIXUC-subgraph-3",ZEJJEF-subgraph-3,MAQKEX-subgraph-1,IRIXUC-subgraph-3,IRIXUC-subgraph-3
70821,70822,126.153232,4.629856939446,"BOSJIF-subgraph-1,IRIXUC-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1",BOSJIF-subgraph-1,IRIXUC-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1
70822,70823,126.150425,4.625892765417,"IRIXUC-subgraph-3,BOSJIF-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1",IRIXUC-subgraph-3,BOSJIF-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1
65034,65035,146.950927,4.625405134708,"MAQKEX-subgraph-1,ZEJJEF-subgraph-3,IRIXUC-subgraph-3,IRIXUC-subgraph-3",MAQKEX-subgraph-1,ZEJJEF-subgraph-3,IRIXUC-subgraph-3,IRIXUC-subgraph-3
64903,64904,146.821493,4.616290564013,"CEVJAP-subgraph-2,MAQKEX-subgraph-1,IRIXUC-subgraph-3,IRIXUC-subgraph-3",CEVJAP-subgraph-2,MAQKEX-subgraph-1,IRIXUC-subgraph-3,IRIXUC-subgraph-3
64904,64905,146.819158,4.611041142973,"MAQKEX-subgraph-1,CEVJAP-subgraph-2,IRIXUC-subgraph-3,IRIXUC-subgraph-3",MAQKEX-subgraph-1,CEVJAP-subgraph-2,IRIXUC-subgraph-3,IRIXUC-subgraph-3
112,112,101.236662,4.591758349741,"MEBXUN-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1",MEBXUN-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1
70665,70666,102.823718,4.583210896172,"ULUSIE-subgraph-1,IRIXUC-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1",ULUSIE-subgraph-1,IRIXUC-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1
70666,70667,102.823765,4.583128323707,"IRIXUC-subgraph-3,ULUSIE-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1",IRIXUC-subgraph-3,ULUSIE-subgraph-1,MAQKEX-subgraph-1,MAQKEX-subgraph-1
65426,65427,123.505949,4.571599627645,"MAQKEX-subgraph-1,BOSJIF-subgraph-1,IRIXUC-subgraph-3,IRIXUC-subgraph-3",MAQKEX-subgraph-1,BOSJIF-subgraph-1,IRIXUC-subgraph-3,IRIXUC-subgraph-3
65425,65426,123.506015,4.5700323636,"BOSJIF-subgraph-1,MAQKEX-subgraph-1,IRIXUC-subgraph-3,IRIXUC-subgraph-3",BOSJIF-subgraph-1,MAQKEX-subgraph-1,IRIXUC-subgraph-3,IRIXUC-subgraph-3
70430,70431,149.52907,4.547176517169,"IRIXUC-subgraph-3,ZEJJEF-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1",IRIXUC-subgraph-3,ZEJJEF-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1
70429,70430,149.527331,4.546941211334,"ZEJJEF-subgraph-3,IRIXUC-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1",ZEJJEF-subgraph-3,IRIXUC-subgraph-3,MAQKEX-subgraph-1,MAQKEX-subgraph-1
69247,69248,153.71187,4.542261604479,"WECJIA-subgraph-3,LEVGUO-subgraph-2,MAQKEX-subgraph-1,MAQKEX-subgraph-1",WECJIA-subgraph-3,LEVGUO-subgraph-2,MAQKEX-subgraph-1,MAQKEX-subgraph-1
