,id,polarisability,homo_lumo_gap,ligands,lig1,lig2,lig3,lig4
158,158,493.76163,1.653486483144,"CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
1566,1566,491.814805,1.975314246774,"CUJYEL-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0",CUJYEL-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0
1567,1567,491.744515,2.372662292796,"CUJYEL-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
831,831,489.810294,2.91010458718,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
83,83,482.400477,1.799469664933,"NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
122342,122343,480.251585,2.237416682946,"BIFZEX-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2",BIFZEX-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2
62187,62187,480.232146,2.488736432235,"CUJYEL-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
62186,62186,480.171277,2.293645141677,"NURKEQ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",NURKEQ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
13466,13466,478.225365,2.878340953402,"NURKEQ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",NURKEQ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
97982,97983,478.211009,2.822409267792,"CUJYEL-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0",CUJYEL-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0
13467,13467,478.059398,2.726508903821,"BIFZEX-subgraph-0,NURKEQ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,NURKEQ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
122512,122513,477.014033,1.349339605002,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,RAJXUX-subgraph-2",BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,RAJXUX-subgraph-2
62526,62526,476.915939,1.271433238159,"CUJYEL-subgraph-2,RAJXUX-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,RAJXUX-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
62527,62527,476.797775,1.215060297817,"RAJXUX-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",RAJXUX-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
608,608,475.219652,1.543130378422,"GUVMEP-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",GUVMEP-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
14857,14857,475.205772,2.233404995959,"RAJXUX-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",RAJXUX-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98677,98678,475.120372,1.720275071244,"CUJYEL-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,RAJXUX-subgraph-2",CUJYEL-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,RAJXUX-subgraph-2
14856,14856,475.049318,2.214299504818,"BIFZEX-subgraph-0,RAJXUX-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,RAJXUX-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
433,433,473.657472,1.559204403397,"KULGAZ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",KULGAZ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
62480,62480,473.369335,2.173193811427,"CUJYEL-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
122489,122490,473.181007,1.898234031958,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,GUVMEP-subgraph-0",BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,GUVMEP-subgraph-0
1206,1206,473.128813,2.488187217158,"RAJXUX-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",RAJXUX-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
62481,62481,473.121179,2.245254541723,"GUVMEP-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",GUVMEP-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
122482,122483,471.659956,1.857906961987,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,KULGAZ-subgraph-2",BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,KULGAZ-subgraph-2
62466,62466,471.563272,2.323341667916,"CUJYEL-subgraph-2,KULGAZ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,KULGAZ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
62467,62467,471.531041,2.31779127348,"KULGAZ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",KULGAZ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
98482,98483,471.447379,2.687708357936,"CUJYEL-subgraph-2,GUVMEP-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0",CUJYEL-subgraph-2,GUVMEP-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0
14467,14467,471.26714,2.893430346776,"BIFZEX-subgraph-0,GUVMEP-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,GUVMEP-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98307,98308,469.799731,2.623402216998,"CUJYEL-subgraph-2,KULGAZ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0",CUJYEL-subgraph-2,KULGAZ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0
14116,14116,469.581892,2.667660570462,"KULGAZ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",KULGAZ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
14117,14117,469.410888,2.528927285267,"BIFZEX-subgraph-0,KULGAZ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,KULGAZ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
1416,1416,468.729741,2.163655663766,"NURKEQ-subgraph-2,BIFZEX-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0",NURKEQ-subgraph-2,BIFZEX-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0
1417,1417,468.712385,2.215460485388,"NURKEQ-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",NURKEQ-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
122510,122511,468.124212,1.237742078301,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,GUQBUQ-subgraph-0",BIFZEX-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,GUQBUQ-subgraph-0
62523,62523,468.061913,1.733596650489,"GUQBUQ-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",GUQBUQ-subgraph-0,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
62522,62522,468.006431,1.644997124662,"CUJYEL-subgraph-2,GUQBUQ-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,GUQBUQ-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
8167,8167,466.647264,2.802911311762,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,NURKEQ-subgraph-2,NURKEQ-subgraph-2",BIFZEX-subgraph-0,CUJYEL-subgraph-2,NURKEQ-subgraph-2,NURKEQ-subgraph-2
95332,95333,466.584839,2.633221130931,"NURKEQ-subgraph-2,CUJYEL-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0",NURKEQ-subgraph-2,CUJYEL-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0
8166,8166,466.463868,2.748578978067,"CUJYEL-subgraph-2,BIFZEX-subgraph-0,NURKEQ-subgraph-2,NURKEQ-subgraph-2",CUJYEL-subgraph-2,BIFZEX-subgraph-0,NURKEQ-subgraph-2,NURKEQ-subgraph-2
