,id,polarisability,homo_lumo_gap,ligands,score,lig1,lig2,lig3,lig4
731,731,445.553647,3.62555656575,"REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1615.3799502747079,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
1031,1031,442.507177,3.461360079815,"NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1531.6766774994303,NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98178,98179,412.782077,3.701636375789,"CUJYEL-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2",1527.969151496936,CUJYEL-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2
1181,1181,453.667797,3.305267838829,"LEZYUM-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1499.4935789365036,LEZYUM-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98128,98129,402.695996,3.712166097899,"CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,REBWEB-subgraph-2",1494.8744241108711,CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,REBWEB-subgraph-2
13858,13858,412.9158,3.612519789157,"BICRIQ-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1491.666498755594,BICRIQ-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13759,13759,402.670689,3.697069745841,"REBWEB-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1488.7016218388503,REBWEB-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13758,13758,402.796526,3.690195901912,"LETTEL-subgraph-1,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1486.3980895495902,LETTEL-subgraph-1,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13859,13859,412.915976,3.57952492678,"REBWEB-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1478.0430287576924,REBWEB-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
756,756,442.146777,3.323750964733,"DOGPAS-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1469.5857766073366,DOGPAS-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
931,931,395.05658,3.690205490465,"MAQKEX-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1457.8399605603254,MAQKEX-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13709,13709,394.514584,3.678428171232,"REBWEB-subgraph-2,EFIHEJ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1451.1935597474733,REBWEB-subgraph-2,EFIHEJ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
14009,14009,402.148611,3.602929773604,"REBWEB-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1448.9132039853932,REBWEB-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
14008,14008,402.144032,3.6009237089,"BABTUT-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1448.0899792214402,BABTUT-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
97928,97929,394.55132,3.640102044161,"CUJYEL-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2",1436.2070664584207,CUJYEL-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2
14458,14458,426.941613,3.350099924944,"GUVMEP-subgraph-0,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1430.2970656667705,GUVMEP-subgraph-0,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13358,13358,394.525634,3.62174423569,"WECJIA-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1428.8709407714427,WECJIA-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98253,98254,402.248132,3.546497314362,"CUJYEL-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2",1426.5719198451313,CUJYEL-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2
831,831,489.810294,2.91010458718,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1425.3991834173846,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
